Genus,Image Count,,
Yamadazyma,0,,
Naganishia,0,,
Pyrrhoderma,0,,
Lecanicillium,0,,
Trichosporon,0,,
Cephaliophora,0,,
Neostrelitziana,0,,
Chaetomella,0,,
Pyricularia,0,,
Camarosporium,0,,
Ciliophora,0,,
Basidiobolus,0,,
Williopsis,0,,
Brycekendrickomyces,0,,
Monodisma,0,,
Quixadomyces,0,,
Angulomyces,0,,
Exserohilum,0,,
Kluyveromyces,0,,
Hyphodermella,0,,
Monilia,0,,
Protodontia,0,,
Coniochaeta,0,,
Poaceascoma,0,,
Symmetrospora,0,,
Dissoconium,0,,
Waitea,0,,
Leptospora,0,,
Ramularia,0,,
Tetraploa,0,,
Periconia,0,,
Stomiopeltis,0,,
Ceramothyrium,0,,
Achroiostachys,0,,
Setophoma,0,,
Jaminaea,0,,
Millerozyma,0,,
Fibriciellum,0,,
Ochroconis,0,,
Kazachstania,0,,
Montagnula,0,,
Fonsecaea,0,,
Mycotribulus,0,,
Devriesia,0,,
Parawiesneriomyces,0,,
Saitozyma,0,,
Smittium,0,,
Veronaea,0,,
Gyrothrix,0,,
Anomoloma,0,,
Pseudorobillarda,0,,
Phaeophleospora,0,,
Pilobolus,0,,
Cladophialophora,0,,
Lasiosphaeriella,0,,
Keratinophyton,0,,
Pyxidiophora,0,,
Biatriospora,0,,
Tripospermum,0,,
Meripilus,0,,
Pseudofusicoccum,0,,
Beltraniella,0,,
Filobasidium,0,,
Aristastoma,0,,
Castanediella,0,,
Eremothecium,0,,
Xenocylindrosporium,0,,
Subsessila,0,,
Hyperdermium,0,,
Melnikomyces,0,,
Erythrobasidium,0,,
Zasmidium,0,,
Neoascochyta,0,,
Leucoinocybe,0,,
Priceomyces,0,,
Heteroacanthella,0,,
Amylostereum,0,,
Sarcinomyces,0,,
Thermomyces,0,,
Camarophyllopsis,0,,
Serendipita,0,,
Alfaria,0,,
Melanconiella,0,,
Ingoldiella,0,,
Catenaria,0,,
Coremiopassalora,0,,
Trimmatostroma,0,,
Paracremonium,0,,
Eupenidiella,0,,
Caespitomonium,0,,
Annellosympodiella,0,,
Korunomyces,0,,
Amphinema,0,,
Kondoa,0,,
Phanerodontia,0,,
Lodderomyces,0,,
Phaeosphaeriopsis,0,,
Musidium,0,,
Buckleyzyma,0,,
Fasciatispora,0,,
Heliocephala,0,,
Polyschema,0,,
Pycnidiophora,0,,
Mariannaea,0,,
Chloridium,0,,
Zopfiella,0,,
Cordana,0,,
Pochonia,0,,
Fibulochlamys,0,,
Gliomastix,0,,
Latorua,0,,
Sirastachys,0,,
Triangularia,0,,
Arachnotheca,0,,
Myxospora,0,,
Stilbella,0,,
Ascitendus,0,,
Xenoteratosphaeria,0,,
Macrophomina,0,,
Entorrhiza,0,,
Penidiella,0,,
Scolecobasidium,0,,
Epicoccum,0,,
Udeniozyma,0,,
Albomyces,0,,
Leptoxyphium,0,,
Pseudosydowia,0,,
Bradymyces,0,,
Monilinia,0,,
Tuber,0,,
Aaosphaeria,0,,
Verruconis,0,,
Thyridium,0,,
Idriella,0,,
Gibellulopsis,0,,
Kalmanozyma,0,,
Pseudotopeliopsis,0,,
Dirina,0,,
Microcera,0,,
Neoplatysporoides,0,,
Macrorhabdus,0,,
Austroafricana,0,,
Beltrania,0,,
Distoseptispora,0,,
Ogataea,0,,
Sporobolomyces,0,,
Parallopsora,0,,
Brunneomyces,0,,
Tilletiopsis,0,,
Angustimassarina,0,,
Diatractium,0,,
Phialemoniopsis,0,,
Bahusutrabeeja,0,,
Paramyrothecium,0,,
Chrysofolia,0,,
Limonomyces,0,,
Vamsapriya,0,,
Capsulospora,0,,
Tremellochaete,0,,
Allomyces,0,,
Hannaella,0,,
Conidiobolus,0,,
Pseudonadsoniella,0,,
Wiesneriomyces,0,,
Lasionectria,0,,
Curvibasidium,0,,
Cystofilobasidium,0,,
Gloiothele,0,,
Sympodiophora,0,,
Erythromyces,0,,
Cystostereum,0,,
Aphanophora,0,,
Sonoraphlyctis,0,,
Clinoconidium,0,,
Golubevia,0,,
Resinomycena,0,,
Myrotheciomyces,0,,
Biscogniauxia,0,,
Monoblepharella,0,,
Flabellophora,0,,
Gibberella,0,,
Pseudoacrodictys,0,,
Amphistereum,0,,
Terana,0,,
Recurvomyces,0,,
Niesslia,0,,
Melanconis,0,,
Microdiplodia,0,,
Oedocephalum,0,,
Pleurothecium,0,,
Monascus,0,,
Syncephalastrum,0,,
Parateratosphaeria,0,,
Sebipora,0,,
Vaginatispora,0,,
Enterographa,0,,
Pseudoproboscispora,0,,
Annulatascus,0,,
Scedosporium,0,,
Anthracobia,0,,
Geminibasidium,0,,
Endomelanconiopsis,0,,
Scleropezicula,0,,
Geosmithia,0,,
Saksenaea,0,,
Entrophospora,0,,
Sporothrix,0,,
Sporidesmium,0,,
Boothiomyces,0,,
Crustoderma,0,,
Bulleribasidium,0,,
Falciformispora,0,,
Acidiella,0,,
Harzia,0,,
Lophiotrema,0,,
Parapyrenochaeta,0,,
Nolanea,0,,
Abundisporus,0,,
Kwoniella,0,,
Warcupia,0,,
Backusella,0,,
Minutisphaera,0,,
Myxocephala,0,,
Polychaeton,0,,
Thysanophora,0,,
Anomomorpha,0,,
Hydnochaete,0,,
Nigelia,0,,
Diplocladiella,0,,
Isthmotricladia,0,,
Metacapnodium,0,,
Mycocentrospora,0,,
Taeniolella,0,,
Triscelophorus,0,,
Camposporium,0,,
Scorpiosporium,0,,
Alatospora,0,,
Amniculicola,0,,
Anguillospora,0,,
Campylospora,0,,
Grallomyces,0,,
Tetracladium,0,,
Trinacrium,0,,
Helminthosporium,0,,
Lunulospora,0,,
Antennatula,0,,
Camposporidium,0,,
Dactylella,0,,
Helicorhoidion,0,,
Menispora,0,,
Pestalotia,0,,
Pithomyces,0,,
Stanjehughesia,0,,
Tetrachaetum,0,,
Tricladium,0,,
Variocladium,0,,
Phalangispora,0,,
Trisulcosporium,0,,
Clavatospora,0,,
Lemonniera,0,,
Fusariella,0,,
Goffeauzyma,0,,
Scutisporus,0,,
Calcarispora,0,,
Gyoerffyella,0,,
Clavariopsis,0,,
Flabellospora,0,,
Aquanectria,0,,
Tumularia,0,,
Pseudoanguillospora,0,,
Retiarius,0,,
Gemmulina,0,,
Elaphocordyceps,0,,
Phyllotopsis,0,,
Eccilia,0,,
Melanogaster,0,,
Bibbya,0,,
Enchylium,0,,
Pseudobaeospora,0,,
Cystogomphus,0,,
Parmelinella,0,,
Pseudevernia,0,,
Asteristion,0,,
Nadsonia,0,,
Bourdotia,0,,
Seuratia,0,,
Lathagrium,0,,
Pleiocarpon,0,,
Campylocarpon,0,,
Cryptosporiopsis,0,,
Straminella,0,,
Neoprotoparmelia,0,,
Phyllosticta,0,,
Acantholichen,0,,
Wickerhamiella,0,,
Rhizomucor,0,,
Rhexoacrodictys,0,,
Hobsonia,0,,
Ditiola,0,,
Phellodon,0,,
Tapinella,0,,
